id,date,block,iucr,primary_type,description,location_description,latitude,longitude,location
2826031,2003-07-10T19:26:00.000,008XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,SIDEWALK,41.897810085,-87.62410122,"{'latitude': '41.897810085', 'longitude': '-87.62410122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3001100,2003-10-17T10:39:00.000,001XX E DELAWARE PL,0460,BATTERY,SIMPLE,STREET,41.89922365,-87.623259112,"{'latitude': '41.89922365', 'longitude': '-87.623259112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3029078,2003-11-02T23:27:00.000,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DRUG STORE,41.896375946,-87.6242787,"{'latitude': '41.896375946', 'longitude': '-87.6242787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3071304,2003-12-01T15:45:00.000,005XX N MICHIGAN AVE,0880,THEFT,PURSE-SNATCHING,STREET,41.891984471,-87.62416567,"{'latitude': '41.891984471', 'longitude': '-87.62416567', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3119460,2003-12-08T00:00:00.000,001XX E CHESTNUT ST,0820,THEFT,$500 AND UNDER,STREET,41.89837293,-87.625035314,"{'latitude': '41.89837293', 'longitude': '-87.625035314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2523214,2003-01-01T01:10:00.000,009XX N MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL/MOTEL,41.899552895,-87.624137033,"{'latitude': '41.899552895', 'longitude': '-87.624137033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2523242,2003-01-01T03:00:00.000,005XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,HOTEL/MOTEL,41.892017399,-87.624165306,"{'latitude': '41.892017399', 'longitude': '-87.624165306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2523438,2003-01-01T01:30:00.000,005XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,HOTEL/MOTEL,41.892017399,-87.624165306,"{'latitude': '41.892017399', 'longitude': '-87.624165306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2524172,2003-01-01T01:30:00.000,001XX E WALTON ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,HOTEL/MOTEL,41.900017769,-87.623426629,"{'latitude': '41.900017769', 'longitude': '-87.623426629', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2525985,2003-01-02T15:30:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2525997,2003-01-02T14:20:00.000,005XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,41.892017399,-87.624165306,"{'latitude': '41.892017399', 'longitude': '-87.624165306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2526843,2003-01-03T17:00:00.000,008XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2526888,2003-01-01T22:00:00.000,001XX E DELAWARE PL,1310,CRIMINAL DAMAGE,TO PROPERTY,HOTEL/MOTEL,41.899189017,-87.625650736,"{'latitude': '41.899189017', 'longitude': '-87.625650736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2528633,2003-01-04T18:29:48.000,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,41.896312833,-87.624279399,"{'latitude': '41.896312833', 'longitude': '-87.624279399', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2528671,2003-01-04T15:35:26.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2529200,2003-01-04T16:45:00.000,005XX N MICHIGAN AVE,0820,THEFT,$500 AND UNDER,STREET,41.892017399,-87.624165306,"{'latitude': '41.892017399', 'longitude': '-87.624165306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2529293,2003-01-05T14:00:00.000,001XX E PEARSON ST,0890,THEFT,FROM BUILDING,OTHER,41.897596067,-87.623218373,"{'latitude': '41.897596067', 'longitude': '-87.623218373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2530359,2003-01-04T10:00:00.000,009XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,41.899410159,-87.624131266,"{'latitude': '41.899410159', 'longitude': '-87.624131266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2530429,2003-01-05T18:27:39.000,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,41.895140898,-87.624255632,"{'latitude': '41.895140898', 'longitude': '-87.624255632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2530520,2003-01-06T03:13:07.000,001XX E GRAND AVE,0895,THEFT,FROM COIN-OP MACHINE/DEVICE,HOTEL/MOTEL,41.891730656,-87.624836919,"{'latitude': '41.891730656', 'longitude': '-87.624836919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2530751,2003-01-03T14:20:23.000,006XX N MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,DEPARTMENT STORE,41.894465726,-87.624241063,"{'latitude': '41.894465726', 'longitude': '-87.624241063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2530812,2003-01-04T01:09:38.000,001XX E DELAWARE PL,0460,BATTERY,SIMPLE,STREET,41.899219774,-87.623519951,"{'latitude': '41.899219774', 'longitude': '-87.623519951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
